StudentID,TimeID,Adjusted_Score
1,1,4
2,1,3
3,1,3
4,1,3
5,1,4
6,1,4
7,1,3
8,1,3
9,1,3
10,1,3
11,1,3
12,1,4
13,1,3
14,1,3
15,1,2
16,1,1
17,2,3
18,2,3
19,2,3
20,2,3
21,2,3
22,2,1
23,2,3
24,2,3
25,2,3
26,2,3
27,2,3
28,2,3
29,2,3
30,2,3
31,2,4
32,2,1
33,3,3
34,3,3
35,3,4
36,3,2
37,3,3
38,3,3
39,3,3
40,3,3
41,3,2
42,3,4
43,3,3
44,3,2
45,3,4
46,3,4
47,3,3
48,3,3
49,4,2
50,4,2
51,4,3
52,4,2
53,4,3
54,4,3
55,4,3
56,4,3
57,4,4
58,4,3
59,4,3
60,4,4
61,4,2
62,4,1
63,4,3
64,4,3
1,1,4
2,1,4
3,1,5
4,1,3
5,1,4
6,1,4
7,1,4
8,1,4
9,1,4
10,1,3
11,1,4
12,1,5
13,1,4
14,1,3
15,1,4
16,1,5
17,2,4
18,2,4
19,2,4
20,2,2
21,2,4
22,2,4
23,2,5
24,2,3
25,2,3
26,2,4
27,2,3
28,2,4
29,2,5
30,2,3
31,2,4
32,2,1
33,3,4
34,3,2
35,3,5
36,3,4
37,3,4
38,3,4
39,3,4
40,3,4
41,3,3
42,3,4
43,3,4
44,3,4
45,3,4
46,3,4
47,3,4
48,3,3
49,4,2
50,4,5
51,4,4
52,4,5
53,4,3
54,4,5
55,4,3
56,4,5
57,4,5
58,4,5
59,4,3
60,4,4
61,4,3
62,4,3
63,4,4
64,4,3